sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,budget_change_pct,priority,cpc_rate
02-08-2025 - SE - Rituals - Overlay,Adset 3,120228731457810232,120228731086470232,2025-08-07,65,33,50.77,9.23,0.1492,9.7,50,6,67.01,16.2,6.5,SE,Sweden,1.6701029206079465,0.09230769088757398,0.6701030237007193,-1,INCREASE_BUDGET,Outlier ROI 67.0%,Increase budget by 13%,13,2,STANDARD
02-08-2025 - SE - Rituals,Adset 3,120228731013330232,120228730572360232,2025-08-07,150,64,42.67,8.0,0.1384,20.76,130,12,56.07,32.4,11.64,SE,Sweden,1.5606935664405794,0.07999999946666667,0.5606936146101341,-1,INCREASE_BUDGET,Outlier ROI 56.1%,Increase budget by 11%,11,2,STANDARD
04-08-2025 - DE - Makita,Adset 5,120228282799040519,120228282799010519,2025-08-07,30,18,60.0,13.33,0.3997,11.99,26,4,43.45,17.2,5.21,DE,Germany,1.4345286543345577,0.13333332888888902,0.4345287377373864,-1,INCREASE_BUDGET,Outlier ROI 43.5%,Increase budget by 9%,9,2,STANDARD
28-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 1,120231063610300045,120231063610390045,2025-08-07,63,36,57.14,11.11,0.346,21.8,60,7,38.07,30.1,8.3,DE,Germany,1.3807338816177117,0.11111110934744271,0.3807339274892694,-1,INCREASE_BUDGET,Outlier ROI 38.1%,Increase budget by 8%,8,2,STANDARD
04-07-2025 - SE - Marabou - UGC - Creative 1,Adset #5,120230366680140295,120230366614230295,2025-08-07,307,144,46.91,12.05,0.3082,94.6185,286,37,36.87,129.5,34.88,SE,Sweden,1.3686541070863087,0.12052117224585937,0.36863826451869075,-1,INCREASE_BUDGET,Outlier ROI 36.9%,Increase budget by 7%,7,2,HIGH
01-08-2025 - DE - Rituals - NEW,Adset 1,120231337089140045,120231337089130045,2025-08-07,123,67,54.47,8.94,0.2819,34.67,115,11,36.43,47.3,12.63,DE,Germany,1.364291855659306,0.08943089358186265,0.3642918845026858,-1,INCREASE_BUDGET,Outlier ROI 36.4%,Increase budget by 7%,7,2,STANDARD
02-08-2025 - SE - Rituals,Adset 5,120228731013360232,120228730572360232,2025-08-07,307,140,45.6,7.49,0.1607,49.34,276,23,25.86,62.1,12.76,SE,Sweden,1.258613675342244,0.07491856653120989,0.2586136956097751,-1,INCREASE_BUDGET,Outlier ROI 25.9%,Increase budget by 5%,5,2,STANDARD
06-08-2025 - US - CeraVe - Overlay,Adset 1,120227953199490068,120227953199300068,2025-08-07,22,19,86.36,9.09,0.2545,5.6,22,2,22.8,6.88,1.28,US,United States,1.2285712091837127,0.09090908677685969,0.22857138775510935,-1,INCREASE_BUDGET,Outlier ROI 22.8%,Increase budget by 5%,5,2,STANDARD
06-08-2025 - IT - Douglas - Overlay,Adset 2,120232365027820628,120232364657620628,2025-08-07,46,25,54.35,8.7,0.1217,5.6,41,4,21.43,6.8,1.2,IT,Italy,1.2142854974490183,0.08695651984877131,0.21428567602041498,-1,INCREASE_BUDGET,Outlier ROI 21.4%,Increase budget by 4%,4,2,STANDARD
23-07-2025 - DE - Xiaomi - Creative 1,Adset #3,120229974485210210,120229974433090210,2025-08-07,37,25,67.57,8.11,0.2914,10.78,35,3,19.67,12.9,2.12,DE,Germany,1.1966603713673127,0.08108107888970058,0.1966604641316824,-1,INCREASE_BUDGET,Outlier ROI 19.7%,Increase budget by 4%,4,2,STANDARD
