sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,budget_change_pct,priority,cpc_rate
07-08-2025 - DE - Xiaomi - Adsets,MV35-45 - FB,120231860583900210,120231860542210210,2025-08-12,2,2,100.0,50.0,1.355,2.71,2,1,58.67,4.3,1.59,DE,Germany,1.5867152816548775,0.499999750000125,0.5867156506584315,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
07-08-2025 - DE - Xiaomi - Adsets,MV55+ - Insta,120231860630560210,120231860542210210,2025-08-12,7,4,57.14,14.29,0.4057,2.84,6,1,51.41,4.3,1.46,DE,Germany,1.5140839739140937,0.1428571224489825,0.5140843260266458,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
07-08-2025 - DE - Xiaomi - Adsets,MV35-45 - Insta,120231860630540210,120231860542210210,2025-08-12,9,5,55.56,11.11,0.4678,4.21,9,1,2.14,4.3,0.09,DE,Germany,1.0213774296015605,0.11111109876543349,0.021377667131195453,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - DE - Kinder - Overlay - Creatives 5,Adset 5,120230447744110186,120230447635650186,2025-08-12,1,1,100.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,DE,Germany,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
08-08-2025 - DE - Milwaukee,Adset 4,23848393169240796,23848393076840796,2025-08-12,1,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,DE,Germany,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
11-08-2025 - DE - Makita,Adset 2,120228591884040519,120228591714020519,2025-08-12,1,1,100.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,DE,Germany,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
12-08-2025 - SE - Rituals - M35-45 - Creative 1,Adset #1,120229219535060232,120229219534260232,2025-08-12,1,1,100.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,SE,Sweden,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
12-08-2025 - SE - Rituals - M45-55 - Creative 3,Adset #1,120229219688930232,120229219686710232,2025-08-12,1,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,SE,Sweden,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
12-08-2025 - SE - Rituals - W25-35 - Creative 1,Adset #1,120229219021560232,120229219016830232,2025-08-12,1,1,100.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,SE,Sweden,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
12-08-2025 - SE - Rituals - W25-35 - Creative 2,Adset #1,120229219134930232,120229219132150232,2025-08-12,1,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,SE,Sweden,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
12-08-2025 - SE - Rituals - W25-35 - Creative 3,Adset #1,120229219162750232,120229219161040232,2025-08-12,1,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,SE,Sweden,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
12-08-2025 - SE - Rituals - W35-45 - Creative 2,Adset #1,120229219376260232,120229219371790232,2025-08-12,1,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,SE,Sweden,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
05-08-2025 - SE - Willys,Adset 5,120231113712410255,120231112854210255,2025-08-12,7,5,71.43,0.0,0.2286,1.6,6,0,-100.0,0.0,-1.6,SE,Sweden,0.0,0.0,-0.9999993750003907,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - DE - Kinder - Overlay - Creatives 2,Adset 4,120230446308980186,120230446030860186,2025-08-12,4,3,75.0,0.0,0.4375,1.75,4,0,-100.0,0.0,-1.75,DE,Germany,0.0,0.0,-0.9999994285717552,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - DE - Kinder - Overlay - Creatives 2,Adset 5,120230446309070186,120230446030860186,2025-08-12,2,0,0.0,0.0,1.695,3.39,2,0,-100.0,0.0,-3.39,DE,Germany,0.0,0.0,-0.9999997050148363,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
06-08-2025 - DE - Kinder - Overlay - Creatives 4,Adset 1,120230446909710186,120230446909660186,2025-08-12,5,4,80.0,0.0,0.402,2.01,4,0,-100.0,0.0,-2.01,DE,Germany,0.0,0.0,-0.9999995024878097,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - DE - Kinder - Overlay - Creatives 4,Adset 3,120230447204810186,120230446909660186,2025-08-12,1,0,0.0,0.0,0.7,0.7,1,0,-100.0,0.0,-0.7,DE,Germany,0.0,0.0,-0.9999985714306122,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
07-08-2025 - DE - Xiaomi - Adsets,MV20-35 - Insta,120231860602830210,120231860542210210,2025-08-12,3,3,100.0,0.0,0.7567,2.27,3,0,-100.0,0.0,-2.27,DE,Germany,0.0,0.0,-0.9999995594715596,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
07-08-2025 - DE - Xiaomi - Adsets,MV45-55 - FB,120231860583910210,120231860542210210,2025-08-12,5,4,80.0,0.0,0.758,3.79,5,0,-100.0,0.0,-3.79,DE,Germany,0.0,0.0,-0.9999997361478269,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
07-08-2025 - DE - Xiaomi - Adsets,MV45-55 - Insta,120231860630550210,120231860542210210,2025-08-12,2,2,100.0,0.0,1.175,2.35,2,0,-100.0,0.0,-2.35,DE,Germany,0.0,0.0,-0.9999995744682662,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
07-08-2025 - DE - Xiaomi - Adsets,MV55+ - FB,120231860583920210,120231860542210210,2025-08-12,2,1,50.0,0.0,0.11,0.22,1,0,-100.0,0.0,-0.22,DE,Germany,0.0,0.0,-0.9999954545661156,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
11-08-2025 - DE - Makita - Overlay,Adset 4,120228592478850519,120228592183720519,2025-08-12,13,8,61.54,0.0,0.36,4.68,11,0,-100.0,0.0,-4.68,DE,Germany,0.0,0.0,-0.999999786324832,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
12-08-2025 - SE - Rituals - M35-45 - Creative 2,Adset #1,120229219553150232,120229219552490232,2025-08-12,1,1,100.0,0.0,0.41,0.41,1,0,-100.0,0.0,-0.41,SE,Sweden,0.0,0.0,-0.9999975609815587,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
12-08-2025 - SE - Rituals - M35-45 - Creative 4,Adset #1,120229219581460232,120229219580040232,2025-08-12,1,0,0.0,0.0,0.33,0.33,1,0,-100.0,0.0,-0.33,SE,Sweden,0.0,0.0,-0.9999969697061525,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
12-08-2025 - SE - Rituals - M35-45 - Creative 5,Adset #1,120229219599220232,120229219598780232,2025-08-12,1,1,100.0,0.0,0.41,0.41,1,0,-100.0,0.0,-0.41,SE,Sweden,0.0,0.0,-0.9999975609815587,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
12-08-2025 - SE - Rituals - M45-55 - Creative 1,Adset #1,120229219615390232,120229219615070232,2025-08-12,1,0,0.0,0.0,0.34,0.34,1,0,-100.0,0.0,-0.34,SE,Sweden,0.0,0.0,-0.9999970588321799,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
12-08-2025 - SE - Rituals - M45-55 - Creative 2,Adset #1,120229219627790232,120229219627520232,2025-08-12,1,1,100.0,0.0,0.54,0.54,1,0,-100.0,0.0,-0.54,SE,Sweden,0.0,0.0,-0.9999981481515774,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
12-08-2025 - SE - Rituals - M45-55 - Creative 5,Adset #1,120229219717040232,120229219716450232,2025-08-12,3,2,66.67,0.0,0.16,0.48,3,0,-100.0,0.0,-0.48,SE,Sweden,0.0,0.0,-0.999997916671007,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
12-08-2025 - SE - Rituals - W25-35 - Creative 5,Adset #1,120229218985690232,120229218985100232,2025-08-12,1,0,0.0,0.0,0.42,0.42,1,0,-100.0,0.0,-0.42,SE,Sweden,0.0,0.0,-0.999997619053288,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
12-08-2025 - SE - Rituals - W25-35 - Creative 5,Adset #1,120229219235930232,120229219234460232,2025-08-12,3,1,33.33,0.0,0.15,0.45,2,0,-100.0,0.0,-0.45,SE,Sweden,0.0,0.0,-0.9999977777827161,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
12-08-2025 - SE - Rituals - W35-45 - Creative 3,Adset #1,120229219426330232,120229219424250232,2025-08-12,2,1,50.0,0.0,0.235,0.47,2,0,-100.0,0.0,-0.47,SE,Sweden,0.0,0.0,-0.9999978723449525,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
12-08-2025 - SE - Rituals - W35-45 - Creative 4,Adset #1,120229219462750232,120229219460690232,2025-08-12,2,1,50.0,0.0,0.28,0.56,2,0,-100.0,0.0,-0.56,SE,Sweden,0.0,0.0,-0.999998214288903,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
