sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,priority
01-08-2025 - SE - Milwaukee - NEW,Adset 4,120231098442690153,120231097634260153,2025-08-03,12,6,50.0,25.0,0.2,2.4,10,3,237.5,8.1,5.7,SE,Sweden,3.3749985938,0.2499999792,2.3749990104,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
02-08-2025 - SE - Rituals,Adset 2,120228731013320232,120228730572360232,2025-08-03,19,10,52.63,10.53,0.1097,2.0842,15,2,159.09,5.4,3.32,SE,Sweden,2.5909209332,0.1052631524,1.5929365738,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
02-08-2025 - SE - Rituals - Overlay,Adset 3,120228731457810232,120228731086470232,2025-08-03,9,5,55.56,22.22,0.2333,2.1,9,2,157.14,5.4,3.3,SE,Sweden,2.5714273469,0.2222221975,1.5714278231,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Overlay - Creative 1,Adset #1,120230909683210153,120230909682040153,2025-08-03,12,8,66.67,25.0,0.2808,3.37,11,3,140.36,8.1,4.73,SE,Sweden,2.4035601176,0.2499999792,1.4035604144,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - SE - Marabou - NEW,Adset 5,120232140298930295,120232140160270295,2025-08-03,21,7,33.33,9.52,0.1595,3.35,20,2,108.96,7.0,3.65,SE,Sweden,2.0895516151,0.0952380907,1.0895519136,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Gillette - Creative 5,Adset #1,120228287382980289,120228287381630289,2025-08-03,13,6,46.15,7.69,0.1954,2.54,10,1,77.17,4.5,1.96,DE,Germany,1.7716528458,0.076923071,0.7716532395,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Creative 1,Adset #1,120230908587310153,120230908585800153,2025-08-03,12,6,50.0,16.67,0.29,3.48,8,2,55.17,5.4,1.92,SE,Sweden,1.551723692,0.1666666528,0.5517239794,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Overlay - Creative 4,Adset #1,120230909821650153,120230909821090153,2025-08-03,10,5,50.0,20.0,0.372,3.72,9,2,45.16,5.4,1.68,SE,Sweden,1.451612513,0.19999998,0.4516127818,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Gillette - Creative 1,Adset #1,120228287111870289,120228287111550289,2025-08-03,18,15,83.33,5.56,0.2044,3.68,16,1,22.28,4.5,0.82,DE,Germany,1.2228257547,0.0555555525,0.2228260264,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - DE - Rituals - NEW,Adset 5,120231337370270045,120231337089130045,2025-08-03,12,8,66.67,8.33,0.335,4.02,11,1,6.97,4.3,0.28,DE,Germany,1.0696514752,0.0833333264,0.069651724,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
