sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit
01-07-2025 - DE - Lenor - UGC - Creative 2,Adset #4,120228509363560223,120228509294540223,2025-07-06,9,3,33.33,0.0,3.51,5,0,-100.0,0.0,-3.51
01-07-2025 - DE - Lenor - UGC - Creative 2,Adset #5,120228509380350223,120228509294540223,2025-07-01,2,1,50.0,0.0,2.4,2,0,-100.0,0.0,-2.4
01-07-2025 - DE - Lenor - UGC - Creative 2,Adset #5,120228509380350223,120228509294540223,2025-07-02,4,2,50.0,0.0,4.06,4,0,-100.0,0.0,-4.06
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #1,120228509403940223,120228509401660223,2025-07-01,2,1,50.0,50.0,0.87,1,1,417.24,4.5,3.63
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #1,120228509403940223,120228509401660223,2025-07-02,1,1,100.0,0.0,0.46,1,0,-100.0,0.0,-0.46
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #1,120228509403940223,120228509401660223,2025-07-06,1,1,100.0,0.0,0.32,1,0,-100.0,0.0,-0.32
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #1,120228509403940223,120228509401660223,2025-07-07,1,1,100.0,100.0,0.33,1,1,1263.64,4.5,4.17
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #1,120228509403940223,120228509401660223,2025-07-08,1,0,0.0,0.0,0.57,1,0,-100.0,0.0,-0.57
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #1,120228509403940223,120228509401660223,2025-07-09,4,2,50.0,25.0,2.04,3,1,120.59,4.5,2.46
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #1,120228509403940223,120228509401660223,2025-07-10,1,1,100.0,0.0,6.5,1,0,-100.0,0.0,-6.5
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #2,120228509428040223,120228509401660223,2025-07-01,6,4,66.67,0.0,1.95,4,0,-100.0,0.0,-1.95
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #2,120228509428040223,120228509401660223,2025-07-02,10,6,60.0,0.0,3.94,9,0,-100.0,0.0,-3.94
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #3,120228509455250223,120228509401660223,2025-07-01,4,3,75.0,25.0,3.01,4,1,49.5,4.5,1.49
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #3,120228509455250223,120228509401660223,2025-07-02,14,9,64.29,14.29,8.8,13,2,2.27,9.0,0.2
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #3,120228509455250223,120228509401660223,2025-07-03,19,13,68.42,15.79,11.88,16,3,13.64,13.5,1.62
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #3,120228509455250223,120228509401660223,2025-07-04,25,12,48.0,12.0,13.39,21,3,0.82,13.5,0.11
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #3,120228509455250223,120228509401660223,2025-07-05,24,12,50.0,12.5,14.93,21,3,-9.58,13.5,-1.43
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #3,120228509455250223,120228509401660223,2025-07-06,2,1,50.0,0.0,0.73,2,0,-100.0,0.0,-0.73
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #4,120228509472170223,120228509401660223,2025-07-01,5,2,40.0,0.0,3.11,5,0,-100.0,0.0,-3.11
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #4,120228509472170223,120228509401660223,2025-07-06,2,2,100.0,50.0,0.86,2,1,423.26,4.5,3.64
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #4,120228509472170223,120228509401660223,2025-07-07,1,0,0.0,0.0,0.54,1,0,-100.0,0.0,-0.54
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #4,120228509472170223,120228509401660223,2025-07-08,1,0,0.0,0.0,1.83,1,0,-100.0,0.0,-1.83
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #4,120228509472170223,120228509401660223,2025-07-09,7,4,57.14,14.29,6.42,6,1,-29.91,4.5,-1.92
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #4,120228509472170223,120228509401660223,2025-07-10,8,6,75.0,37.5,1.65,7,3,718.18,13.5,11.85
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-01,6,6,100.0,16.67,2.79,6,1,61.29,4.5,1.71
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-02,8,4,50.0,25.0,4.36,8,2,106.42,9.0,4.64
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-03,13,7,53.85,15.38,8.53,12,2,5.51,9.0,0.47
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-04,4,3,75.0,0.0,3.05,4,0,-100.0,0.0,-3.05
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-05,14,9,64.29,28.57,5.73,12,4,214.14,18.0,12.27
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-06,25,17,68.0,16.0,21.23,23,4,-15.21,18.0,-3.23
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-07,33,26,78.79,12.12,21.0,32,4,-14.29,18.0,-3.0
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-08,14,7,50.0,21.43,16.94,12,3,-20.31,13.5,-3.44
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-09,19,12,63.16,21.05,11.36,16,4,58.45,18.0,6.64
01-07-2025 - DE - Lenor - UGC - Creative 3,Adset #5,120228509485880223,120228509401660223,2025-07-10,2,2,100.0,100.0,4.77,2,2,88.68,9.0,4.23
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-01,3,3,100.0,33.33,2.31,3,1,94.81,4.5,2.19
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-02,23,14,60.87,13.04,9.92,17,3,36.09,13.5,3.58
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-03,55,40,72.73,20.0,23.97,48,11,106.51,49.5,25.53
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-04,91,56,61.54,9.89,53.18,84,9,-23.84,40.5,-12.68
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-05,44,23,52.27,13.64,30.1,39,6,-10.3,27.0,-3.1
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-06,40,22,55.0,15.0,30.01,33,6,-10.03,27.0,-3.01
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-07,32,16,50.0,6.25,19.23,27,2,-53.2,9.0,-10.23
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-08,13,10,76.92,0.0,13.82,12,0,-100.0,0.0,-13.82
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-09,11,6,54.55,18.18,12.82,10,2,-29.8,9.0,-3.82
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #1,120228509503020223,120228509502340223,2025-07-10,7,5,71.43,42.86,7.08,6,3,90.68,13.5,6.42
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-01,7,5,71.43,28.57,2.45,7,2,267.35,9.0,6.55
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-02,9,6,66.67,44.44,6.58,8,4,173.56,18.0,11.42
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-03,23,13,56.52,13.04,15.73,21,3,-14.18,13.5,-2.23
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-04,15,12,80.0,13.33,11.55,14,2,-22.08,9.0,-2.55
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-05,21,13,61.9,33.33,21.39,18,7,47.27,31.5,10.11
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-06,58,33,56.9,10.34,36.53,48,6,-26.09,27.0,-9.53
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-07,40,29,72.5,32.5,28.16,39,13,107.74,58.5,30.34
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-08,38,20,52.63,10.53,27.97,33,4,-35.65,18.0,-9.97
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-09,18,13,72.22,27.78,19.68,17,5,14.33,22.5,2.82
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #2,120228509530320223,120228509502340223,2025-07-10,10,6,60.0,10.0,11.41,10,1,-60.56,4.5,-6.91
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #3,120228509554490223,120228509502340223,2025-07-01,5,2,40.0,0.0,1.7,3,0,-100.0,0.0,-1.7
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #3,120228509554490223,120228509502340223,2025-07-02,5,4,80.0,20.0,1.31,3,1,243.51,4.5,3.19
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #3,120228509554490223,120228509502340223,2025-07-06,3,3,100.0,0.0,0.42,3,0,-100.0,0.0,-0.42
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #3,120228509554490223,120228509502340223,2025-07-08,41,22,53.66,9.76,24.46,37,4,-26.41,18.0,-6.46
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #3,120228509554490223,120228509502340223,2025-07-09,44,32,72.73,18.18,33.61,43,8,7.11,36.0,2.39
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #3,120228509554490223,120228509502340223,2025-07-10,31,15,48.39,6.45,33.17,30,2,-72.87,9.0,-24.17
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-01,5,2,40.0,20.0,2.21,4,1,103.62,4.5,2.29
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-02,35,25,71.43,25.71,16.78,32,9,141.36,40.5,23.72
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-03,77,44,57.14,9.09,39.26,69,7,-19.77,31.5,-7.76
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-04,49,33,67.35,10.2,30.61,43,5,-26.49,22.5,-8.11
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-05,79,49,62.03,15.19,45.57,72,12,18.5,54.0,8.43
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-06,69,40,57.97,15.94,39.62,63,11,24.94,49.5,9.88
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-07,61,38,62.3,13.11,43.41,55,8,-17.07,36.0,-7.41
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-08,43,25,58.14,18.6,31.11,40,8,15.72,36.0,4.89
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-09,32,24,75.0,15.63,28.64,32,5,-21.44,22.5,-6.14
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #4,120228509577060223,120228509502340223,2025-07-10,18,13,72.22,22.22,15.04,17,4,19.68,18.0,2.96
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #5,120228509636350223,120228509502340223,2025-07-01,4,1,25.0,0.0,2.37,4,0,-100.0,0.0,-2.37
01-07-2025 - DE - Lenor - UGC - Creative 4,Adset #5,120228509636350223,120228509502340223,2025-07-02,12,6,50.0,8.33,7.49,12,1,-39.92,4.5,-2.99
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #1,120228509670160223,120228509667520223,2025-07-01,3,2,66.67,0.0,1.24,3,0,-100.0,0.0,-1.24
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #1,120228509670160223,120228509667520223,2025-07-02,1,1,100.0,100.0,0.19,1,1,2268.42,4.5,4.31
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #1,120228509670160223,120228509667520223,2025-07-08,1,1,100.0,100.0,0.32,1,1,1306.25,4.5,4.18
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #1,120228509670160223,120228509667520223,2025-07-09,8,4,50.0,12.5,1.87,7,1,140.64,4.5,2.63
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-01,4,2,50.0,25.0,4.74,4,1,-5.06,4.5,-0.24
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-02,10,8,80.0,30.0,5.87,9,3,129.98,13.5,7.63
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-03,18,15,83.33,22.22,12.53,17,4,43.66,18.0,5.47
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-04,27,16,59.26,14.81,17.01,25,4,5.82,18.0,0.99
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-05,41,27,65.85,19.51,21.86,37,8,64.68,36.0,14.14
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-06,46,26,56.52,19.57,28.19,41,9,43.67,40.5,12.31
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-07,35,24,68.57,25.71,22.57,33,9,79.44,40.5,17.93
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-08,42,26,61.9,14.29,30.49,37,6,-11.45,27.0,-3.49
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-09,25,20,80.0,12.0,23.76,23,3,-43.18,13.5,-10.26
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #2,120228509687320223,120228509667520223,2025-07-10,16,10,62.5,6.25,13.46,13,1,-66.57,4.5,-8.96
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #3,120228509703450223,120228509667520223,2025-07-01,2,1,50.0,50.0,1.77,2,1,154.24,4.5,2.73
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #3,120228509703450223,120228509667520223,2025-07-03,1,1,100.0,0.0,0.46,1,0,-100.0,0.0,-0.46
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #3,120228509703450223,120228509667520223,2025-07-09,7,3,42.86,0.0,1.78,5,0,-100.0,0.0,-1.78
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #3,120228509703450223,120228509667520223,2025-07-10,6,3,50.0,0.0,3.79,5,0,-100.0,0.0,-3.79
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-01,6,2,33.33,0.0,2.96,6,0,-100.0,0.0,-2.96
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-02,34,23,67.65,23.53,13.17,30,8,173.35,36.0,22.83
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-03,50,31,62.0,10.0,26.96,46,5,-16.54,22.5,-4.46
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-04,89,49,55.06,17.98,62.31,79,16,15.55,72.0,9.69
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-05,94,63,67.02,15.96,60.27,88,15,12.0,67.5,7.23
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-06,99,63,63.64,21.21,61.15,94,21,54.54,94.5,33.35
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-07,79,51,64.56,13.92,52.89,72,11,-6.41,49.5,-3.39
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-08,70,42,60.0,24.29,49.64,64,17,54.11,76.5,26.86
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-09,78,52,66.67,23.08,50.81,69,18,59.42,81.0,30.19
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #4,120228509719340223,120228509667520223,2025-07-10,43,22,51.16,16.28,36.26,41,7,-13.13,31.5,-4.76
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #5,120228509743330223,120228509667520223,2025-07-01,5,3,60.0,0.0,0.77,2,0,-100.0,0.0,-0.77
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #5,120228509743330223,120228509667520223,2025-07-03,1,0,0.0,0.0,0.03,1,0,-100.0,0.0,-0.03
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #5,120228509743330223,120228509667520223,2025-07-08,1,1,100.0,0.0,0.25,1,0,-100.0,0.0,-0.25
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #5,120228509743330223,120228509667520223,2025-07-09,2,1,50.0,50.0,0.88,2,1,411.36,4.5,3.62
01-07-2025 - DE - Lenor - UGC - Creative 5,Adset #5,120228509743330223,120228509667520223,2025-07-10,4,3,75.0,25.0,0.58,2,1,675.86,4.5,3.92
01-07-2025 - US - CVS - Creative 1,Adset #1,120227880475550762,120227880473580762,2025-07-01,1,1,100.0,0.0,0.37,1,0,-100.0,0.0,-0.37
01-07-2025 - US - CVS - Creative 1,Adset #2,120227880508660762,120227880473580762,2025-07-01,14,10,71.43,14.29,6.29,13,2,7.93,6.79,0.5
01-07-2025 - US - CVS - Creative 1,Adset #2,120227880508660762,120227880473580762,2025-07-02,19,14,73.68,0.0,5.88,19,0,-100.0,0.0,-5.88
01-07-2025 - US - CVS - Creative 1,Adset #3,120227880538160762,120227880473580762,2025-07-01,1,1,100.0,0.0,0.44,1,0,-100.0,0.0,-0.44
01-07-2025 - US - CVS - Creative 1,Adset #3,120227880538160762,120227880473580762,2025-07-02,18,11,61.11,16.67,6.07,15,3,67.85,10.19,4.12
01-07-2025 - US - CVS - Creative 1,Adset #3,120227880538160762,120227880473580762,2025-07-03,18,15,83.33,11.11,6.34,18,2,6.94,6.78,0.44
01-07-2025 - US - CVS - Creative 1,Adset #4,120227880554630762,120227880473580762,2025-07-01,3,3,100.0,0.0,1.27,3,0,-100.0,0.0,-1.27
01-07-2025 - US - CVS - Creative 1,Adset #4,120227880554630762,120227880473580762,2025-07-02,7,5,71.43,14.29,3.92,6,1,-13.29,3.4,-0.52
01-07-2025 - US - CVS - Creative 1,Adset #4,120227880554630762,120227880473580762,2025-07-03,9,5,55.56,11.11,4.42,9,1,-23.1,3.4,-1.02
01-07-2025 - US - CVS - Creative 1,Adset #5,120227880587570762,120227880473580762,2025-07-01,4,3,75.0,0.0,1.15,4,0,-100.0,0.0,-1.15
01-07-2025 - US - CVS - Creative 1,Adset #5,120227880587570762,120227880473580762,2025-07-02,12,7,58.33,0.0,4.97,10,0,-100.0,0.0,-4.97
01-07-2025 - US - CVS - Creative 2,Adset #1,120227880611630762,120227880608710762,2025-07-01,4,3,75.0,0.0,1.81,4,0,-100.0,0.0,-1.81
01-07-2025 - US - CVS - Creative 2,Adset #1,120227880611630762,120227880608710762,2025-07-03,14,9,64.29,0.0,5.15,13,0,-100.0,0.0,-5.15
01-07-2025 - US - CVS - Creative 2,Adset #2,120227880636970762,120227880608710762,2025-07-01,2,1,50.0,50.0,0.62,2,1,447.46,3.39,2.77
01-07-2025 - US - CVS - Creative 2,Adset #2,120227880636970762,120227880608710762,2025-07-03,4,2,50.0,0.0,0.37,3,0,-100.0,0.0,-0.37
01-07-2025 - US - CVS - Creative 2,Adset #3,120227880682160762,120227880608710762,2025-07-01,17,12,70.59,11.76,4.93,16,2,37.43,6.78,1.85
01-07-2025 - US - CVS - Creative 2,Adset #3,120227880682160762,120227880608710762,2025-07-02,154,99,64.29,7.14,43.21,141,11,-13.7,37.29,-5.92
01-07-2025 - US - CVS - Creative 2,Adset #4,120227880703380762,120227880608710762,2025-07-01,3,2,66.67,0.0,1.93,3,0,-100.0,0.0,-1.93
01-07-2025 - US - CVS - Creative 2,Adset #4,120227880703380762,120227880608710762,2025-07-03,8,5,62.5,0.0,2.99,8,0,-100.0,0.0,-2.99
01-07-2025 - US - CVS - Creative 2,Adset #5,120227880725770762,120227880608710762,2025-07-01,6,2,33.33,16.67,1.12,4,1,203.06,3.39,2.27
01-07-2025 - US - CVS - Creative 2,Adset #5,120227880725770762,120227880608710762,2025-07-03,16,7,43.75,6.25,5.16,14,1,-34.3,3.39,-1.77
01-07-2025 - US - CVS - Creative 3,Adset #1,120227880745510762,120227880743230762,2025-07-01,8,4,50.0,12.5,1.65,4,1,105.71,3.39,1.74
01-07-2025 - US - CVS - Creative 3,Adset #1,120227880745510762,120227880743230762,2025-07-03,1,1,100.0,0.0,0.16,1,0,-100.0,0.0,-0.16
01-07-2025 - US - CVS - Creative 3,Adset #2,120227880771560762,120227880743230762,2025-07-01,9,9,100.0,22.22,2.61,9,2,159.59,6.78,4.17
01-07-2025 - US - CVS - Creative 3,Adset #2,120227880771560762,120227880743230762,2025-07-02,64,49,76.56,6.25,18.99,62,4,-28.63,13.55,-5.44
01-07-2025 - US - CVS - Creative 3,Adset #2,120227880771560762,120227880743230762,2025-07-03,1,1,100.0,0.0,0.05,1,0,-100.0,0.0,-0.05
